t,xt,yt
0,13.09148264984227,0
60,12.326498422712932,5
120,11.955835962145109,10
180,11.380126182965299,15
240,11.15141955835962,20
300,11.064668769716087,25
360,11.001577287066246,30
420,10.686119873817034,35
480,10.599369085173501,40
540,10.552050473186119,45
600,10.57570977917981,0
660,10.599369085173501,5
720,10.496845425867507,10
780,10.481072555205047,15
840,10.552050473186119,20
900,10.54416403785489,25
960,10.599369085173501,30
1020,10.552050473186119,35
1080,10.599369085173501,40
1140,10.157728706624605,45
1200,10.205047318611987,0
1260,10.54416403785489,5
1320,10.457413249211356,10
1380,10.82807570977918,15
1440,10.441640378548895,20
1500,11.372239747634069,25
1560,10.977917981072554,30
1620,7.003154574132492,35
